expression,template_type,error
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_delta(close, 60) - ts_decay_linear(ts_delta(adv20, 60), 3)))",price_volume_divergence,Simulation 2bHRf5bnJ4MWbhouGjlPt8x timed out
"zscore((ts_delta(close, 20) - ts_decay_linear(ts_delta(adv20, 20), 5)))",price_volume_divergence,high-structural-overlap
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(eps, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank((sales / (1 + eps)), 10) - ts_rank(eps, 10)))",quality_value,high-structural-overlap
"ts_rank(((vwap - ts_min(vwap, 120)) / (1 + (ts_max(vwap, 120) - ts_min(vwap, 120)))), 120)",breakout,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(eps, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))))",volatility_reversion,exact-fingerprint-match
"ts_rank((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)), 20)",fundamental_momentum_spread,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((operating_margin / (1 + cashflow)), 60) - ts_rank(cashflow, 60)))",quality_value,Simulation failed with status: error
"rank(((high - ts_min(high, 20)) / (1 + (ts_max(high, 20) - ts_min(high, 20)))))",breakout,high-structural-overlap
"zscore(((high - ts_mean(high, 20)) / (1 + (ts_max(high, 20) - ts_min(high, 20)))))",range_reversion,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(eps, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank(((vwap - ts_mean(vwap, 40)) / (1 + (ts_max(vwap, 40) - ts_min(vwap, 40)))))",range_reversion,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(eps, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"zscore((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank((ts_rank(close, 120) - ts_rank((ts_rank(eps, 60) - ts_rank(eps, 120)), 60)), 60)",fundamental_momentum_spread,exact-fingerprint-match
