expression,template_type,status,stage,universe,checks_failed,behavior_similarity,sharpe,fitness,returns,drawdown,turnover,margin,reward
"zscore((ts_rank(close, 40) - ts_rank((ts_rank(returns, 5) - ts_rank(returns, 40)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-1.11,-0.34,-0.0962,0.5116,1.0001,-0.000192,-1.577044
"ts_rank((ts_delta(low, 10) - ts_delta(low, 5)), 10)",acceleration,complete,IS,TOP3000,0,0.9638776922172179,0.16,0.02,0.011,0.1309,0.7493,2.9e-05,-0.942047
"ts_rank((ts_rank(returns, 60) - ts_rank((ts_rank(vwap, 5) - ts_rank(vwap, 60)), 5)), 5)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9632702147217578,-1.14,-0.24,-0.054,0.2899,1.2293,-8.8e-05,-1.511017
"rank((ts_delta(cashflow, 60) - ts_delta(cashflow, 40)))",acceleration,complete,IS,TOP3000,0,1.0,-0.1,-0.02,-0.0081,0.2237,0.1868,-8.7e-05,-1.050359
"rank((ts_rank(close, 10) - ts_rank(close, 60)))",momentum,complete,IS,TOP3000,0,0.9402126142536358,-1.01,-0.38,-0.0786,0.4326,0.5592,-0.000281,-1.569266
"zscore((ts_delta(returns, 120) - ts_delta(returns, 60)))",acceleration,complete,IS,TOP3000,0,0.9323373968206079,-0.93,-0.25,-0.1039,0.5366,1.4426,-0.000144,-1.46591
"zscore((ts_delta(high, 40) - ts_delta(high, 20)))",acceleration,complete,IS,TOP3000,0,1.0,-0.05,-0.01,-0.0044,0.2739,0.2809,-3.1e-05,-1.030069
"zscore(((eps - ts_mean(eps, 120)) / (1 + ts_std_dev(eps, 120))))",volatility_reversion,complete,IS,TOP3000,0,1.0,0.08,0.01,0.0038,0.1089,0.0648,0.000118,-0.972463
"rank((ts_rank(close, 20) - ts_rank(close, 120)))",momentum,complete,IS,TOP3000,0,0.9583882469247338,-0.76,-0.32,-0.0722,0.4323,0.3995,-0.000362,-1.454745
"zscore((ts_rank(eps, 20) - ts_rank((ts_rank(returns, 120) - ts_rank(returns, 20)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,0.46,0.07,0.0222,0.0564,0.999,4.4e-05,-0.816416
"rank(group_neutralize((vwap - ts_mean(vwap, 10)), sector))",mean_reversion,complete,IS,TOP3000,0,0.990340778698484,-1.6,-0.89,-0.1497,0.7481,0.4871,-0.000615,-2.092919
"zscore((ts_rank(close, 60) - ts_rank((ts_rank(adv20, 5) - ts_rank(adv20, 60)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9976025543886091,-0.93,-0.32,-0.074,0.4101,0.6258,-0.000237,-1.505223
"ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 60)), 20)",momentum,complete,IS,TOP3000,0,0.9959387633571612,-1.31,-0.5,-0.0798,0.4278,0.5436,-0.000294,-1.737218
"zscore(group_neutralize(((close - ts_mean(close, 20)) / (1 + ts_rank(volume, 20))), subindustry))",liquidity_reversal,complete,IS,TOP3000,0,0.964268642042529,-1.1,-0.54,-0.096,0.494,0.3933,-0.000488,-1.7035
"rank((ts_rank(close, 20) - ts_rank((ts_rank(close, 120) - ts_rank(close, 20)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-1.32,-0.61,-0.1144,0.5897,0.5319,-0.00043,-1.819343
"rank((ts_rank(vwap, 60) - ts_rank((ts_rank(eps, 40) - ts_rank(eps, 60)), 40)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9705275716307327,-0.5,-0.22,-0.0321,0.1969,0.1709,-0.000376,-1.301475
"zscore((ts_rank(returns, 60) - ts_rank((ts_rank(cashflow, 10) - ts_rank(cashflow, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-1.66,-0.53,-0.1112,0.5699,1.0938,-0.000203,-1.868493
"ts_rank((ts_rank((cashflow / (1 + sales)), 20) - ts_rank((sales / (1 + cashflow)), 20)), 20)",quality_efficiency,complete,IS,TOP3000,0,0.9497478041784616,0.84,0.26,0.023,0.0312,0.2332,0.000197,-0.5780959999999999
"zscore(group_neutralize((vwap - ts_mean(vwap, 10)), subindustry))",mean_reversion,complete,IS,TOP3000,0,0.9416119606399509,-1.22,-0.55,-0.0993,0.52,0.4873,-0.000408,-1.747044
"rank((ts_delta(low, 10) - ts_decay_linear(ts_delta(vwap, 10), 5)))",price_volume_divergence,complete,IS,TOP3000,0,0.9880290931501804,-1.23,-0.38,-0.0848,0.4314,0.8704,-0.000195,-1.635726
"rank(group_neutralize(((close - ts_mean(close, 40)) / (1 + ts_rank(volume, 40))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.9562866414376799,-1.18,-0.76,-0.1098,0.5902,0.2621,-0.000838,-1.8744900000000002
"rank((ts_rank(vwap, 20) - ts_rank((ts_rank(returns, 10) - ts_rank(returns, 20)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-1.14,-0.36,-0.0895,0.4669,0.894,-0.0002,-1.597167
"ts_rank((ts_rank(cashflow, 40) - ts_rank((ts_rank(close, 20) - ts_rank(close, 40)), 20)), 20)",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,1.66,0.61,0.0857,0.083,0.6394,0.000268,-0.10113400000000006
"ts_rank((ts_delta(sales, 10) - ts_delta(sales, 20)), 10)",acceleration,complete,IS,TOP3000,0,0.9793375052730671,0.58,0.14,0.0232,0.0829,0.4108,0.000113,-0.7356309999999999
"rank(group_neutralize(((close - ts_mean(close, 40)) / (1 + ts_rank(adv20, 40))), subindustry))",liquidity_reversal,complete,IS,TOP3000,0,0.986330170413417,-1.41,-0.89,-0.0953,0.4958,0.2387,-0.000798,-2.0239979999999997
"ts_rank((ts_rank(cashflow, 20) - ts_rank((ts_rank(sales, 10) - ts_rank(sales, 20)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9839634959205946,0.54,0.13,0.0161,0.083,0.288,0.000112,-0.754702
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 20)))",momentum,complete,IS,TOP3000,0,0.9873552528277325,-1.17,-0.38,-0.0689,0.3723,0.6385,-0.000216,-1.614681
"rank((ts_delta(sales, 60) - ts_decay_linear(ts_delta(cashflow, 60), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.9845978566015241,0.05,0.01,0.0018,0.1209,0.0665,5.4e-05,-0.981983
"ts_rank((ts_rank(close, 60) - ts_rank((ts_rank(vwap, 120) - ts_rank(vwap, 60)), 120)), 120)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9792126066084428,-1.17,-0.58,-0.0935,0.5288,0.3781,-0.000495,-1.751344
"zscore(group_neutralize(((returns - ts_mean(returns, 10)) / (1 + ts_rank(adv20, 10))), subindustry))",liquidity_reversal,complete,IS,TOP3000,0,0.9212434746262446,-1.0,-0.29,-0.1257,0.6637,1.4454,-0.000174,-1.518467
"rank(group_neutralize((returns - ts_mean(returns, 10)), industry))",mean_reversion,complete,IS,TOP3000,0,1.0,-1.03,-0.29,-0.1018,0.5346,1.2859,-0.000158,-1.521682
"rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(sales, 120) - ts_rank(sales, 60)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,0.21,0.05,0.0062,0.075,0.0797,0.000156,-0.906254
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(close, 20) - ts_rank(close, 120)), 20)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,1.21,0.47,0.0622,0.0413,0.4047,0.000307,-0.327763
"zscore((ts_rank(high, 60) - ts_rank((ts_rank(volume, 10) - ts_rank(volume, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.84,-0.25,-0.0695,0.4269,0.7605,-0.000183,-1.432867
"zscore((ts_delta(close, 120) - ts_delta(close, 60)))",acceleration,complete,IS,TOP3000,0,1.0,0.02,0.0,0.0022,0.2042,0.1844,2.4e-05,-0.99995
"ts_decay_linear((ts_rank(returns, 20) - ts_rank((ts_rank(close, 120) - ts_rank(close, 20)), 120)), 120)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9777567520395103,-0.16,-0.05,-0.0111,0.2422,0.0634,-0.000351,-1.088654
"rank((ts_rank(eps, 120) - ts_rank(sales, 120)))",fundamental_cross,complete,IS,TOP3000,0,1.0,0.33,0.1,0.0113,0.0805,0.0463,0.000488,-0.837511
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 5)))",acceleration,complete,IS,TOP3000,0,0.9681559970279295,-0.3,-0.06,-0.0224,0.2019,0.5397,-8.3e-05,-1.136849
"ts_rank((ts_rank(sales, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)), 20)",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,1.61,0.59,0.0818,0.0625,0.605,0.00027,-0.12883099999999992
"zscore((ts_delta(vwap, 20) - ts_decay_linear(ts_delta(vwap, 20), 5)))",price_volume_divergence,complete,IS,TOP3000,0,0.9532978517743868,-0.78,-0.23,-0.0739,0.3935,0.8444,-0.000175,-1.401217
"zscore((ts_rank(low, 60) - ts_rank((ts_rank(volume, 5) - ts_rank(volume, 60)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9950814589525496,-1.02,-0.3,-0.078,0.444,0.917,-0.00017,-1.5205600000000001
"ts_rank((ts_rank(vwap, 60) - ts_rank((ts_rank(sales, 5) - ts_rank(sales, 60)), 5)), 5)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9817672445519163,-1.4,-0.45,-0.0862,0.482,0.8375,-0.000206,-1.733856
"ts_decay_linear((ts_rank(cashflow, 40) - ts_rank((ts_rank(close, 120) - ts_rank(close, 40)), 120)), 120)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9758063489498494,0.0,0.0,0.0002,0.2021,0.0448,9e-06,-1.006047
"zscore((ts_delta(sales, 120) - ts_delta(sales, 20)))",acceleration,complete,IS,TOP3000,0,0.9548977760441743,0.38,0.19,0.0315,0.156,0.0564,0.001117,-0.76466
"zscore((ts_rank(close, 20) - ts_rank((ts_rank(sales, 120) - ts_rank(sales, 20)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9597294381194188,-1.11,-0.53,-0.0828,0.4356,0.3616,-0.000458,-1.697192
"zscore(group_neutralize(((vwap - ts_mean(vwap, 5)) / (1 + ts_rank(adv20, 5))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.9504694065681406,-0.84,-0.29,-0.0885,0.4434,0.7666,-0.000231,-1.460882
"rank(group_neutralize(((cashflow - ts_mean(cashflow, 10)) / (1 + ts_rank(adv20, 10))), subindustry))",liquidity_reversal,complete,IS,TOP3000,0,0.9472198730040504,0.79,0.27,0.0417,0.1196,0.3584,0.000233,-0.587752
"rank(group_neutralize(((returns - ts_mean(returns, 10)) / (1 + ts_rank(volume, 10))), subindustry))",liquidity_reversal,complete,IS,TOP3000,0,0.9810005629461498,-1.1,-0.29,-0.088,0.4607,1.2681,-0.000139,-1.539361
"zscore(group_neutralize((returns - ts_mean(returns, 40)), subindustry))",mean_reversion,complete,IS,TOP3000,0,1.0,-1.03,-0.33,-0.1443,0.7597,1.4356,-0.000201,-1.557835
"zscore((ts_delta(low, 10) - ts_delta(low, 5)))",acceleration,complete,IS,TOP3000,0,1.0,-0.22,-0.04,-0.0192,0.2192,0.5774,-6.7e-05,-1.100112
"ts_rank((ts_rank(low, 60) - ts_rank((ts_rank(vwap, 5) - ts_rank(vwap, 60)), 5)), 5)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9932348083871135,-0.77,-0.17,-0.0459,0.2698,0.9812,-9.4e-05,-1.353266
"ts_rank((ts_delta(high, 40) - ts_delta(high, 5)), 40)",acceleration,complete,IS,TOP3000,0,0.9863455037141695,-0.05,-0.01,-0.0039,0.1728,0.3438,-2.2e-05,-1.026996
"rank((ts_rank(vwap, 20) - ts_rank((ts_rank(close, 5) - ts_rank(close, 20)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9617723636776982,-0.63,-0.17,-0.052,0.3127,0.7363,-0.000141,-1.3130410000000001
"rank(group_neutralize(((close - ts_mean(close, 5)) / (1 + ts_rank(adv20, 5))), sector))",liquidity_reversal,complete,IS,TOP3000,0,0.8989298267491697,-1.86,-0.85,-0.1626,0.8071,0.7859,-0.000414,-1.147721
"zscore((ts_rank(eps, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,1.71,0.63,0.082,0.0389,0.602,0.000272,-0.07210699999999992
"rank(group_neutralize(((close - ts_mean(close, 60)) / (1 + ts_rank(vwap, 60))), subindustry))",liquidity_reversal,complete,IS,TOP3000,0,1.0,-1.36,-0.96,-0.094,0.5059,0.1884,-0.000998,-2.054697
"rank(group_neutralize(((vwap - ts_mean(vwap, 40)) / (1 + ts_rank(adv20, 40))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.9921414542771889,-1.1,-0.75,-0.1033,0.5574,0.2224,-0.000929,-1.842486
"rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 5) - ts_rank(close, 60)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.967467287114891,0.76,0.16,0.0418,0.1001,0.9339,9e-05,-0.667659
"zscore((ts_delta(close, 5) - ts_decay_linear(ts_delta(vwap, 5), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.989846520166212,-1.17,-0.36,-0.1018,0.525,1.1049,-0.000184,-1.6088939999999998
"rank((ts_rank((close / (1 + sales)), 20) - ts_rank(sales, 20)))",quality_value,complete,IS,TOP3000,0,0.9631063303556803,-1.26,-0.6,-0.1059,0.5299,0.4629,-0.000458,-1.7923689999999999
"zscore(group_neutralize(((returns - ts_mean(returns, 120)) / (1 + ts_rank(eps, 120))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.8440324587012811,-1.3,-0.49,-0.205,1.0443,1.441,-0.000285,-0.756229
"ts_rank((ts_rank(low, 60) - ts_rank((ts_rank(sales, 10) - ts_rank(sales, 60)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9956824940793522,-1.28,-0.46,-0.0747,0.4305,0.5823,-0.000256,-1.701891
"rank((ts_rank(low, 60) - ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,0.13,0.02,0.0106,0.1759,0.5007,4.2e-05,-0.952429
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(adv20, 10) - ts_rank(adv20, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.06,-0.0,-0.0021,0.0662,0.4873,-9e-06,-1.020154
"rank((ts_rank(eps, 120) - ts_rank((ts_rank(returns, 60) - ts_rank(returns, 120)), 60)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9657275069430236,-0.08,-0.01,-0.0032,0.0906,0.7391,-9e-06,-1.033474
"ts_decay_linear((ts_delta(vwap, 120) - ts_delta(vwap, 60)), 120)",acceleration,complete,IS,TOP3000,0,1.0,-0.09,-0.03,-0.0104,0.306,0.0283,-0.000733,-1.056512
"ts_rank((ts_delta(vwap, 60) - ts_delta(vwap, 40)), 60)",acceleration,complete,IS,TOP3000,0,0.9214983868538549,-0.95,-0.39,-0.0585,0.3538,0.3476,-0.000337,-1.553794
"ts_rank((ts_rank((low / (1 + sales)), 120) - ts_rank(sales, 120)), 120)",quality_value,complete,IS,TOP3000,0,1.0,-0.74,-0.32,-0.0371,0.2187,0.2008,-0.00037,-1.439529
"zscore((ts_rank(returns, 20) - ts_rank((ts_rank(sales, 10) - ts_rank(sales, 20)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9724957664187954,-1.51,-0.44,-0.0877,0.4695,1.0198,-0.000172,-1.7601010000000001
"rank((ts_rank(close, 60) - ts_rank((ts_rank(volume, 20) - ts_rank(volume, 60)), 20)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.92,-0.31,-0.0718,0.4033,0.6461,-0.000222,-1.495343
"zscore((ts_delta(low, 120) - ts_delta(low, 60)))",acceleration,complete,IS,TOP3000,0,1.0,0.06,0.01,0.0063,0.1938,0.1723,7.3e-05,-0.98081
"rank((ts_rank(vwap, 40) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 40)), 20)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.04,-0.0,-0.0032,0.2187,0.3991,-1.6e-05,-1.018817
"rank(group_neutralize(((vwap - ts_mean(vwap, 10)) / (1 + ts_rank(volume, 10))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.9344837368185837,-1.62,-0.89,-0.139,0.6912,0.462,-0.000602,-2.096356
"rank(((eps - ts_mean(eps, 60)) / (1 + ts_std_dev(eps, 60))))",volatility_reversion,complete,IS,TOP3000,0,0.9928300652373381,0.24,0.06,0.0069,0.053,0.0621,0.000221,-0.890038
"ts_decay_linear((ts_rank(returns, 20) - ts_rank((ts_rank(vwap, 5) - ts_rank(vwap, 20)), 5)), 5)",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-1.0,-0.35,-0.0713,0.3743,0.5675,-0.000251,-1.544433
"ts_decay_linear((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 10) - ts_rank(close, 60)), 10)), 10)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9691725991382464,1.15,0.55,0.0648,0.0669,0.2795,0.000464,-0.294323
"zscore((ts_rank(vwap, 60) - ts_rank((ts_rank(eps, 10) - ts_rank(eps, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,-0.88,-0.47,-0.0527,0.3118,0.1868,-0.000564,-1.58307
"zscore(group_neutralize(((close - ts_mean(close, 20)) / (1 + ts_rank(adv20, 20))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.9697636546227367,-1.39,-0.9,-0.1616,0.8013,0.3893,-0.00083,-2.038967
"ts_decay_linear((ts_delta(low, 60) - ts_decay_linear(ts_delta(vwap, 60), 10)), 60)",price_volume_divergence,complete,IS,TOP3000,0,1.0,-0.32,-0.16,-0.0296,0.2173,0.1029,-0.000574,-1.208887
"ts_decay_linear((ts_delta(vwap, 10) - ts_decay_linear(ts_delta(vwap, 10), 10)), 10)",price_volume_divergence,complete,IS,TOP3000,0,0.9427249321346178,-0.46,-0.17,-0.0376,0.314,0.2861,-0.000263,-1.260928
"zscore((ts_rank(returns, 20) - ts_rank(sales, 20)))",fundamental_cross,complete,IS,TOP3000,0,0.9679879586423694,-1.45,-0.42,-0.1011,0.5235,1.2202,-0.000166,-1.731793
"zscore((ts_rank(vwap, 20) - ts_rank((ts_rank(cashflow, 5) - ts_rank(cashflow, 20)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9996714541460745,-1.12,-0.55,-0.1084,0.5884,0.4528,-0.000479,-1.719824
"rank(group_neutralize(((returns - ts_mean(returns, 5)) / (1 + ts_rank(adv20, 5))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.9120985694779112,-0.6,-0.12,-0.0565,0.3416,1.3194,-8.6e-05,-0.272768
