expression,template_type,status,stage,universe,checks_failed,behavior_similarity,sharpe,fitness,returns,drawdown,turnover,margin,reward
"ts_rank((ts_rank(cashflow, 120) - ts_rank((ts_rank(vwap, 60) - ts_rank(vwap, 120)), 60)), 60)",fundamental_momentum_spread,complete,IS,TOP3000,0,1.0,0.52,0.15,0.0298,0.0747,0.3781,0.000158,-0.7463569999999999
"zscore((ts_delta(high, 120) - ts_delta(high, 20)))",acceleration,complete,IS,TOP3000,0,1.0,-0.01,-0.0,-0.001,0.2198,0.1253,-1.6e-05,-1.009674
"zscore((ts_rank(eps, 10) - ts_rank(eps, 120)))",momentum,complete,IS,TOP3000,0,0.9076485887808285,-0.72,-0.3,-0.0211,0.1361,0.0633,-0.000667,-0.41677100000000006
"zscore((ts_delta(close, 5) - ts_delta(close, 40)))",acceleration,complete,IS,TOP3000,0,0.9560109102503751,0.25,0.08,0.0249,0.2278,0.2301,0.000217,-0.877842
"rank((ts_delta(close, 5) - ts_delta(close, 20)))",acceleration,complete,IS,TOP3000,0,0.954562240334607,0.35,0.1,0.0283,0.1428,0.3391,0.000167,-0.83202
"ts_rank((ts_rank(cashflow, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.8336381195014932,-0.65,-0.22,-0.0385,0.2811,0.3248,-0.000237,-0.349513
"ts_decay_linear((ts_rank(close, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.8733492454587035,-0.23,-0.11,-0.0265,0.3433,0.0479,-0.001105,-0.15291900000000003
"rank((ts_delta(cashflow, 10) - ts_delta(cashflow, 20)))",acceleration,complete,IS,TOP3000,0,0.9700155191075763,0.4,0.14,0.0401,0.2311,0.3139,0.000255,-0.792725
"rank((ts_delta(close, 120) - ts_decay_linear(ts_delta(close, 120), 5)))",price_volume_divergence,complete,IS,TOP3000,0,0.8583039967402064,-1.36,-0.47,-0.1053,0.5426,0.8658,-0.000243,-0.738202
"ts_rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)), 10)",acceleration,complete,IS,TOP3000,0,0.8570774664066637,-0.53,-0.12,-0.0333,0.1992,0.6504,-0.000102,-0.24564
"rank(((vwap - ts_mean(vwap, 10)) / (1 + ts_std_dev(vwap, 10))))",volatility_reversion,complete,IS,TOP3000,0,0.7255153797992028,-1.62,-0.92,-0.16,0.8096,0.4982,-0.000642,-1.121088
"ts_rank((ts_rank(returns, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)), 120)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9507814020978486,-1.29,-0.42,-0.096,0.5254,0.8855,-0.000217,-1.6834419999999999
"zscore((ts_delta(close, 10) - ts_delta(close, 20)))",acceleration,complete,IS,TOP3000,0,0.9900044447216059,0.46,0.14,0.039,0.2167,0.4388,0.000178,-0.774381
"ts_rank((ts_delta(vwap, 120) - ts_delta(vwap, 5)), 120)",acceleration,complete,IS,TOP3000,0,0.9261253700888616,-0.17,-0.05,-0.0142,0.1918,0.1993,-0.000142,-1.09039
"ts_rank(((returns - ts_mean(returns, 10)) / (1 + ts_std_dev(returns, 10))), 10)",volatility_reversion,complete,IS,TOP3000,0,0.8303303713971064,-0.94,-0.21,-0.0664,0.4133,1.3486,-9.8e-05,-0.43621099999999996
"zscore(((close - ts_mean(close, 10)) / (1 + ts_std_dev(close, 10))))",volatility_reversion,complete,IS,TOP3000,0,0.918713793949209,-1.68,-0.92,-0.1822,0.9064,0.6016,-0.000606,-1.1437680000000001
"zscore(((cashflow - ts_mean(cashflow, 60)) / (1 + ts_std_dev(cashflow, 60))))",volatility_reversion,complete,IS,TOP3000,0,0.9184214711011693,-0.67,-0.28,-0.035,0.3192,0.2074,-0.000337,-0.395376
"zscore(((vwap - ts_mean(vwap, 10)) / (1 + ts_std_dev(vwap, 10))))",volatility_reversion,complete,IS,TOP3000,0,0.9809576443206306,-1.54,-0.85,-0.1667,0.8396,0.5501,-0.000606,-2.0530239999999997
"rank((ts_delta(returns, 40) - ts_delta(returns, 5)))",acceleration,complete,IS,TOP3000,0,0.9858540176027092,0.49,0.09,0.0435,0.1463,1.3377,6.5e-05,-0.795409
"zscore((ts_delta(close, 120) - ts_decay_linear(ts_delta(close, 120), 5)))",price_volume_divergence,complete,IS,TOP3000,0,0.8723909618449116,-0.93,-0.28,-0.0833,0.4377,0.932,-0.000179,-0.4807950000000001
"rank((ts_delta(vwap, 60) - ts_delta(vwap, 20)))",acceleration,complete,IS,TOP3000,0,0.9243498173347438,-0.5,-0.25,-0.0456,0.3666,0.1876,-0.000486,-1.327146
"rank((ts_delta(close, 60) - ts_delta(close, 40)))",acceleration,complete,IS,TOP3000,0,0.992797068676348,-0.2,-0.04,-0.0144,0.2203,0.2912,-9.9e-05,-1.093761
"zscore((ts_rank(close, 60) - ts_rank((ts_rank(close, 120) - ts_rank(close, 60)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.8700617435114464,-1.18,-0.64,-0.1084,0.5851,0.3722,-0.000582,-0.796225
"ts_rank((ts_delta(returns, 20) - ts_delta(returns, 40)), 20)",acceleration,complete,IS,TOP3000,0,0.9165346869902213,-0.31,-0.04,-0.0187,0.2586,1.376,-2.7e-05,-0.128254
"ts_decay_linear((ts_delta(vwap, 120) - ts_decay_linear(ts_delta(close, 120), 5)), 120)",price_volume_divergence,complete,IS,TOP3000,0,0.9190218902400809,-0.27,-0.12,-0.0241,0.268,0.1159,-0.000416,-0.168968
"rank(((close - ts_mean(close, 10)) / (1 + ts_std_dev(close, 10))))",volatility_reversion,complete,IS,TOP3000,0,1.0,-1.71,-0.95,-0.1688,0.8472,0.5457,-0.000619,-2.16942
"rank(((sales - ts_mean(sales, 120)) / (1 + ts_std_dev(sales, 120))))",volatility_reversion,complete,IS,TOP3000,0,0.9529576072015821,0.29,0.1,0.0149,0.1387,0.0539,0.000552,-0.850969
"ts_rank(((vwap - ts_mean(vwap, 5)) / (1 + ts_std_dev(vwap, 5))), 5)",volatility_reversion,complete,IS,TOP3000,0,0.9317205192412252,-1.03,-0.28,-0.0773,0.4608,1.0227,-0.000151,-1.511008
"zscore((ts_rank(cashflow, 60) - ts_rank((ts_rank(sales, 120) - ts_rank(sales, 60)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9865837275192234,0.17,0.03,0.0052,0.0723,0.075,0.00014,-0.931253
"rank((ts_rank(close, 40) - ts_rank((ts_rank(returns, 5) - ts_rank(returns, 40)), 5)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9655129637241697,-1.11,-0.34,-0.0915,0.489,0.9529,-0.000192,-1.57599
"ts_rank(((low - ts_mean(low, 10)) / (1 + ts_std_dev(low, 10))), 10)",volatility_reversion,complete,IS,TOP3000,0,0.8335134203063803,-1.68,-0.69,-0.1279,0.6765,0.7513,-0.00034,-0.9830269999999999
"rank((ts_rank(cashflow, 20) - ts_rank((ts_rank(close, 10) - ts_rank(close, 20)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9428264003677456,1.28,0.37,0.0649,0.055,0.7815,0.000166,-0.3719579999999999
"ts_rank((ts_rank(close, 60) - ts_rank((ts_rank(close, 5) - ts_rank(close, 60)), 5)), 5)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.8975823796469677,-0.88,-0.2,-0.0524,0.3087,0.9958,-0.000105,-0.407453
"zscore((ts_rank(sales, 10) - ts_rank((ts_rank(vwap, 120) - ts_rank(vwap, 10)), 120)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9086542923664888,-1.26,-0.5,-0.0845,0.4662,0.5465,-0.000309,-0.7237460000000001
"ts_rank(((cashflow - ts_mean(cashflow, 120)) / (1 + ts_std_dev(cashflow, 120))), 120)",volatility_reversion,complete,IS,TOP3000,0,0.9379461927984395,0.88,0.37,0.0219,0.0285,0.0433,0.001013,-0.494603
"zscore((ts_delta(returns, 5) - ts_delta(returns, 20)))",acceleration,complete,IS,TOP3000,0,0.8890572347963042,-0.41,-0.07,-0.047,0.4232,1.4487,-6.5e-05,-0.18495599999999998
"zscore(group_neutralize(((returns - ts_mean(returns, 5)) / (1 + ts_rank(volume, 5))), industry))",liquidity_reversal,complete,IS,TOP3000,0,0.934116733433689,-0.25,-0.04,-0.0339,0.3986,1.4267,-4.7e-05,-1.11567
