2026-03-20 03:00:16,697 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((vwap - ts_mean(vwap, 5)), industry))
2026-03-20 03:02:23,740 | INFO | events | completed alpha_id=154 status=complete sharpe=-1.7900 fitness=-0.8400
2026-03-20 03:02:23,993 | INFO | events | preparing template=fundamental_cross expression=rank((ts_rank(vwap, 120) - ts_rank(eps, 120)))
2026-03-20 03:04:36,249 | INFO | events | completed alpha_id=159 status=complete sharpe=-0.6200 fitness=-0.3400
2026-03-20 03:04:41,538 | INFO | events | preparing template=price_volume_divergence expression=zscore((ts_delta(close, 5) - ts_decay_linear(ts_delta(volume, 5), 3)))
2026-03-20 03:15:17,335 | INFO | events | preparing template=volatility_reversion expression=zscore(((returns - ts_mean(returns, 20)) / (1 + ts_std_dev(returns, 20))))
2026-03-20 03:16:31,889 | INFO | events | completed alpha_id=169 status=complete sharpe=-1.0100 fitness=-0.3200
2026-03-20 03:16:32,106 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((returns - ts_mean(returns, 10)), sector))
2026-03-20 03:18:18,579 | INFO | events | completed alpha_id=174 status=complete sharpe=-1.0500 fitness=-0.3000
2026-03-20 03:18:18,600 | INFO | events | preparing template=price_volume_divergence expression=ts_decay_linear((ts_delta(vwap, 5) - ts_decay_linear(ts_delta(adv20, 5), 10)), 5)
2026-03-20 03:29:05,242 | INFO | events | preparing template=momentum expression=ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 60)), 10)
2026-03-20 03:30:28,262 | INFO | events | completed alpha_id=180 status=complete sharpe=-1.6100 fitness=-0.5900
2026-03-20 03:30:28,463 | INFO | events | preparing template=quality_value expression=rank((ts_rank((returns / (1 + cashflow)), 20) - ts_rank(cashflow, 20)))
2026-03-20 03:31:55,256 | INFO | events | completed alpha_id=184 status=complete sharpe=-1.1600 fitness=-0.1900
2026-03-20 03:31:55,476 | INFO | events | preparing template=fundamental_cross expression=rank((ts_rank(eps, 120) - ts_rank(cashflow, 120)))
2026-03-20 03:33:59,477 | INFO | events | completed alpha_id=189 status=complete sharpe=0.5800 fitness=0.2200
2026-03-20 03:34:04,763 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((returns - ts_mean(returns, 40)) / (1 + ts_std_dev(returns, 40))), 40)
2026-03-20 03:35:35,048 | INFO | events | completed alpha_id=195 status=complete sharpe=-1.4400 fitness=-0.4100
2026-03-20 03:35:35,213 | INFO | events | preparing template=volatility_reversion expression=rank(((close - ts_mean(close, 10)) / (1 + ts_std_dev(close, 10))))
2026-03-20 03:37:11,821 | INFO | events | completed alpha_id=199 status=complete sharpe=-1.7100 fitness=-0.9500
2026-03-20 03:37:12,093 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((returns - ts_mean(returns, 60)), sector))
2026-03-20 03:39:37,579 | INFO | events | completed alpha_id=205 status=complete sharpe=-1.2000 fitness=-0.3700
2026-03-20 03:39:43,080 | INFO | events | preparing template=volatility_reversion expression=zscore(((close - ts_mean(close, 60)) / (1 + ts_std_dev(close, 60))))
2026-03-20 03:41:58,502 | INFO | events | completed alpha_id=215 status=complete sharpe=-1.0700 fitness=-0.8100
2026-03-20 03:41:58,663 | INFO | events | preparing template=fundamental_cross expression=rank((ts_rank(vwap, 60) - ts_rank(eps, 60)))
2026-03-20 03:43:27,922 | INFO | events | completed alpha_id=219 status=complete sharpe=-0.7900 fitness=-0.4100
2026-03-20 03:43:27,953 | INFO | events | preparing template=breakout expression=rank(((close - ts_min(close, 120)) / (1 + (ts_max(close, 120) - ts_min(close, 120)))))
2026-03-20 03:43:34,508 | INFO | events | preparing template=mean_reversion expression=zscore(group_neutralize((close - ts_mean(close, 40)), subindustry))
2026-03-20 03:44:57,329 | INFO | events | completed alpha_id=225 status=complete sharpe=-0.9300 fitness=-0.5300
2026-03-20 03:44:57,531 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((returns - ts_mean(returns, 10)), industry))
2026-03-20 03:46:43,455 | INFO | events | completed alpha_id=229 status=complete sharpe=-1.0300 fitness=-0.2900
2026-03-20 03:46:43,686 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((returns - ts_mean(returns, 20)) / (1 + ts_std_dev(returns, 20))), 20)
2026-03-20 03:47:58,471 | INFO | events | completed alpha_id=234 status=complete sharpe=-1.4300 fitness=-0.4000
2026-03-20 03:47:58,497 | INFO | events | preparing template=mean_reversion expression=zscore(group_neutralize((returns - ts_mean(returns, 20)), subindustry))
2026-03-20 03:49:29,197 | INFO | events | completed alpha_id=235 status=complete sharpe=-0.9900 fitness=-0.3000
2026-03-20 03:49:40,111 | INFO | events | preparing template=breakout expression=rank(((low - ts_min(low, 20)) / (1 + (ts_max(low, 20) - ts_min(low, 20)))))
2026-03-20 03:49:47,531 | INFO | events | preparing template=volatility_reversion expression=rank(((eps - ts_mean(eps, 10)) / (1 + ts_std_dev(eps, 10))))
2026-03-20 03:51:49,668 | INFO | events | completed alpha_id=260 status=complete sharpe=-0.4200 fitness=-0.1100
2026-03-20 03:51:49,832 | INFO | events | preparing template=quality_value expression=zscore((ts_rank((cashflow / (1 + book_value)), 120) - ts_rank(book_value, 120)))
2026-03-20 03:51:56,834 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(vwap, 60) - ts_decay_linear(ts_delta(volume, 60), 3)))
